node	Location	genotype
FJ639828	South-eastern Asia	AsianI
KC131142	Eastern Asia	Cosmopolitan
EU179858	South-eastern Asia	Cosmopolitan
KF041233	Southern Asia	Cosmopolitan
KF360005	Southern Asia	Cosmopolitan
EU687220	South America	AsianAmerican
FJ898465	South America	AsianAmerican
JX669483	South America	AsianAmerican
n70	South America	AsianAmerican
n71	South America	AsianAmerican
JX669488	South America	AsianAmerican
AF489932	South America	AsianAmerican
n79	Caribbean	AsianAmerican
GQ398270	Caribbean	AsianAmerican
GQ398282	Caribbean	AsianAmerican
GQ398269	Caribbean	AsianAmerican
n100	Caribbean	AsianAmerican
n111	Caribbean	AsianAmerican
n173	Central America	AsianAmerican
n139	Central America	AsianAmerican
n161	Central America	AsianAmerican
n121	South America	AsianAmerican
n122	South America	AsianAmerican
n125	South America	AsianAmerican
n135	South America	AsianAmerican
n185	Caribbean	AsianAmerican
EU920849	Caribbean	AsianAmerican
FJ850088	South America	AsianAmerican
EU920840	South America	AsianAmerican
EU482664	South-eastern Asia	AsianAmerican
FM210202	South-eastern Asia	AsianAmerican
FM210208	South-eastern Asia	AsianAmerican
FM210236	South-eastern Asia	AsianAmerican
n257	South-eastern Asia	AsianI
n327	South-eastern Asia	AsianI
FJ196851	Eastern Asia	AsianI
FJ639831	South-eastern Asia	AsianI
AF100464	South-eastern Asia	AsianI
GQ868544	South-eastern Asia	AsianI
JX669484	South America	AsianAmerican
KC294201	South America	AsianAmerican
n72	South America	AsianAmerican
JX669486	South America	AsianAmerican
n80	Caribbean	AsianAmerican
n82	Caribbean	AsianAmerican
n101	Caribbean	AsianAmerican
n106	Caribbean	AsianAmerican
EU482744	Caribbean	AsianAmerican
EU482590	Caribbean	AsianAmerican
n174	Central America	AsianAmerican
FJ898461	Central America	AsianAmerican
n140	Central America	AsianAmerican
n149	Central America	AsianAmerican
n162	Central America	AsianAmerican
n171	Central America	AsianAmerican
KJ189370	Central America	AsianAmerican
EU482607	South America	AsianAmerican
KJ189305	South America	AsianAmerican
n123	South America	AsianAmerican
GQ868553	South America	AsianAmerican
n126	South America	AsianAmerican
n131	South America	AsianAmerican
n134	South America	AsianAmerican
n136	South America	AsianAmerican
GQ868555	South America	AsianAmerican
n186	Caribbean	AsianAmerican
FJ898451	Caribbean	AsianAmerican
n325	South-eastern Asia	AsianI
n259	South-eastern Asia	AsianI
FJ810411	South-eastern Asia	AsianI
n328	South-eastern Asia	AsianI
GQ868620	South-eastern Asia	AsianI
KC294222	South America	AsianAmerican
FJ850072	South America	AsianAmerican
n81	Caribbean	AsianAmerican
EU569714	Caribbean	AsianAmerican
n83	Caribbean	AsianAmerican
n85	Caribbean	AsianAmerican
n105	Caribbean	AsianAmerican
n103	Caribbean	AsianAmerican
GQ398296	Caribbean	AsianAmerican
EU482587	Caribbean	AsianAmerican
EU482740	Caribbean	AsianAmerican
EU482588	Caribbean	AsianAmerican
n110	Caribbean	AsianAmerican
GQ398285	Caribbean	AsianAmerican
FJ898438	Central America	AsianAmerican
n176	Central America	AsianAmerican
FJ898439	Central America	AsianAmerican
n146	Central America	AsianAmerican
n142	Central America	AsianAmerican
n145	Central America	AsianAmerican
FJ744704	Central America	AsianAmerican
n160	Central America	AsianAmerican
n152	Central America	AsianAmerican
FJ850066	Central America	AsianAmerican
n163	Central America	AsianAmerican
GQ868604	Central America	AsianAmerican
EU482603	Central America	AsianAmerican
EU482634	Central America	AsianAmerican
EU482693	Central America	AsianAmerican
FJ898466	South America	AsianAmerican
JN819408	South America	AsianAmerican
n127	South America	AsianAmerican
FJ639733	South America	AsianAmerican
n132	South America	AsianAmerican
JN819407	South America	AsianAmerican
