node	Location
AF100466	South America
FJ850072_KC294201.2	South America
JX669488	South America
JN819419	South America
FJ850085	South America
EU920840_FJ850088.1	South America
EU920834_EU920834.2	South America
EU920835	South America
FJ898466_GQ868553.1	South America
EU482605_GU131947.1	South America
EU482607	South America
FJ898439_GU131959	Central America
EU482444_GQ868604.1	Central America
AF208496_EU920833	Caribbean
FJ898460	Caribbean
EU920842_EU920849.1	Caribbean
EU482726_EU482726.1	Caribbean
FM210235.2	South-eastern Asia
FM210235	South-eastern Asia
FM210213.2	South-eastern Asia
FM210213.3	South-eastern Asia
EU482664	South-eastern Asia
EU482664.1	South-eastern Asia
AF100462	South-eastern Asia
AF100462.1	South-eastern Asia
EU726767	South-eastern Asia
EU726767.1	South-eastern Asia
AF169679_AF169679.1	South-eastern Asia
AF169680	South-eastern Asia
EU482464_FJ906957	South-eastern Asia
AF100461_AF100461.1	South-eastern Asia
FJ196851_FJ639831.1	South-eastern Asia
EU687246	South-eastern Asia
FJ687434_FJ687434.2	South-eastern Asia
FJ639828	South-eastern Asia
AY858035_JN851130	South-eastern Asia
EU179859_JX470186.1	South-eastern Asia
JN851129	South-eastern Asia
JN851129.1	South-eastern Asia
JN851126_JN851127	South-eastern Asia
HM488257_KC131142.1	South-eastern Asia
AY858036_AY858036.2	South-eastern Asia
AY858036.1	South-eastern Asia
KJ830750_KJ830750.1	Western Asia
KF041233	Southern Asia
KJ010185_KJ010185.1	Southern Asia
KJ010186_KJ010186.1	Southern Asia
EU482590_EU482590.2	Caribbean
EU482744_EU482744.1	Caribbean
EU482561_GQ398286.2	Caribbean
GQ398285_GQ398285.1	Caribbean
EU482565_EU482728.2	Caribbean
EU482554_EU569714	Caribbean
KC294201_KC294201.2	South America
FJ850072_FJ850072.1	South America
FJ850088_FJ850088.1	South America
EU920840	South America
EU920834.1_EU920834.2	South America
EU920834	South America
GQ868553_GQ868553.1	South America
FJ898466_JN819408	South America
EU482605_FJ639732	South America
GQ868555_GU131947.1	South America
FJ898439	Central America
GU131959	Central America
EU482603_GQ868604.1	Central America
EU482444_KJ189309.1	Central America
AF208496_AY702039	Caribbean
EU920833	South America
EU920842_FJ898451.2	Caribbean
EU920849_EU920849.1	Caribbean
EU482726.1	Caribbean
EU482726	Caribbean
AF169679.1	South-eastern Asia
AF169679	South-eastern Asia
