node	Location
JX669484	South America
EU482561_EU482561.1	Caribbean
GQ398302	Caribbean
GQ398297_GQ398297.1	Caribbean
GQ398296	Caribbean
GQ868515	Central America
GQ868515.1	Central America
FJ850061_FJ873808.2	Central America
GQ199894_GU369819.1	Central America
FJ744704_FJ850066.1	Central America
EU482635_FJ882594.1	Central America
FJ850120_FJ850120.2	Central America
EU596500_HQ705625.1	Central America
GQ868604	Central America
EU482634_EU482634.1	Central America
EU482603	Central America
JN819408_JN819408.2	South America
GQ868553	South America
KJ189305	South America
EU482607	South America
GQ868555_GQ868555.1	South America
GQ868558_GQ868558.2	South America
0.991388	South America
FJ850108_JN819407.2	South America
FJ024473	South America
EU920833.3	South America
EU920833.2	South America
0.963327	Caribbean
0.963327	South America
EU920842	South America
EU687216.1_EU687216.2	Caribbean
EU687216	Caribbean
EU687249_FJ639707	South-eastern Asia
EU482451_EU660413	South-eastern Asia
0.999967	South-eastern Asia
GU131924	South-eastern Asia
FJ810411.2	South-eastern Asia
FJ810411.1	South-eastern Asia
GQ868638	South-eastern Asia
GQ868638.1	South-eastern Asia
EU482728.2_EU482728.3	Caribbean
EU482728.1	Caribbean
EU482552	Caribbean
EU529706_EU596490.1	Caribbean
EU482551	Caribbean
EU482561.1	Caribbean
EU482561	Caribbean
GQ398297	Caribbean
GQ398297.1	Caribbean
FJ850061_GQ199897	Central America
FJ873808_FJ873808.2	Central America
GQ199894_KJ189308	Central America
GU369819_GU369819.1	Central America
FJ850066_FJ850066.1	Central America
FJ744704_FJ744704.1	Central America
0.668739	Central America
FJ882594_FJ882594.1	Central America
FJ850120.1_FJ850120.2	Central America
FJ850120	Central America
0.669636	Central America
EU596500	Central America
EU482634	Central America
EU482634.1	Central America
JN819408.1_JN819408.2	South America
JN819408	South America
GQ868555.1	South America
GQ868555	South America
GQ868558	South America
GQ868558.2	South America
GQ868558.1	South America
0.924395	South America
FJ639733_FJ639733.1	South America
0.999975	South America
JN819407_JN819407.2	South America
GU131881_JX669476	South America
EU920850_EU920850.1	Caribbean
EU687216.1	Caribbean
EU687216.2	Caribbean
FJ639707	South-eastern Asia
EU687249	South-eastern Asia
EU482451_FM210214	South-eastern Asia
EU482469_EU660413	South-eastern Asia
GU131932	South-eastern Asia
0.998498	South-eastern Asia
