accession	id	country_code	serotype	genotype	year	Country ISO3	Continent	Country	Sub-region	Region	Int-region	Is Developed	Location
EU920846.2	DENV2_EU920846_AsianAmerican_GF_2006	GF	DENV2	AsianAmerican	2006.0	GUF	Americas	French Guiana	Latin America and the Caribbean	Americas	South America	Developing	South America
FJ898466.1	DENV2_FJ898466_AsianAmerican_VE_2000	VE	DENV2	AsianAmerican	2000.0	VEN	Americas	Venezuela (Bolivarian Republic of)	Latin America and the Caribbean	Americas	South America	Developing	South America
FJ196853.2	DENV2_FJ196853_Cosmopolitan_CN_2003	CN	DENV2	Cosmopolitan	2003.0	CHN	Asia	China	Eastern Asia	Asia	Eastern Asia	Developing	Eastern Asia
GQ398270.1	DENV2_GQ398270_AsianAmerican_PR_1994	PR	DENV2	AsianAmerican	1994.0	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
EU920849.2	DENV2_EU920849_AsianAmerican_GP_2006	GP	DENV2	AsianAmerican	2006.0	GLP	Americas	Guadeloupe	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
EU596490.1	DENV2_EU596490_AsianAmerican_PR_2007	PR	DENV2	AsianAmerican	2007.0	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
KC294222.1	DENV2_KC294222_AsianAmerican_PE_2002	PE	DENV2	AsianAmerican	2002.0	PER	Americas	Peru	Latin America and the Caribbean	Americas	South America	Developing	South America
GQ868542.1	DENV2_GQ868542_Asian_I_TH_1994	TH	DENV2	AsianI	1994.0	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ906957.1	DENV2_FJ906957_Asian_I_TH_1996	TH	DENV2	AsianI	1996.0	THA	Asia	Thailand	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ024454.2	DENV2_FJ024454_Asian_I_VN_2007	VN	DENV2	AsianI	2007.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
GU369819.1	DENV2_GU369819_AsianAmerican_MX_2002	MX	DENV2	AsianAmerican	2002.0	MEX	Americas	Mexico	Latin America and the Caribbean	Americas	Central America	Developing	Central America
EU482701.3	DENV2_EU482701_Asian_I_VN_2007	VN	DENV2	AsianI	2007.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
FJ882602.1	DENV2_FJ882602_Cosmopolitan_LK_1996	LK	DENV2	Cosmopolitan	1996.0	LKA	Asia	Sri Lanka	Southern Asia	Asia	Southern Asia	Developing	Southern Asia
