node	Loc	RTM184V
node_75	Southern Africa ex SA	sensitive
AF290027	Southern Africa ex SA	sensitive
node_78	Southern Africa ex SA	sensitive
AY878062	South Africa	sensitive
node_80	South Africa	sensitive
node_189	Central Africa	sensitive
node_190	Central Africa	sensitive
node_197	Central Africa	sensitive
node_201	Central Africa	sensitive
KM050305	Central Africa	sensitive
KM050304	Central Africa	sensitive
node_245	Central Africa	sensitive
HM119847	Central Africa	sensitive
AY829284	Southern Africa ex SA	sensitive
GQ372203	North America	sensitive
HM119619	Central Africa	sensitive
node_253	Southern Africa ex SA	sensitive
node_260	Central Africa	sensitive
node_339	South Africa	sensitive
node_341	Central Africa	sensitive
node_351	Central Africa	sensitive
node_385	South Africa	sensitive
node_386	South Africa	sensitive
HM119681	Central Africa	sensitive
node_391	Central Africa	sensitive
node_418	Central Africa	sensitive
node_556	Central Africa	sensitive
node_617	Central Africa	sensitive
node_895	Central Africa	sensitive
AY772700	South Africa	sensitive
node_904	South Africa	sensitive
HM119707	Central Africa	sensitive
HM119854	Central Africa	sensitive
KM050006	Central Africa	sensitive
KM050746	Central Africa	sensitive
HM120134	Central Africa	sensitive
node_942	Central Africa	sensitive
node_944	Central Africa	sensitive
node_944	Southern Africa ex SA	
node_947	Southern Africa ex SA	sensitive
node_954	Central Africa	sensitive
node_962	Central Africa	sensitive
node_1992	Central Africa	sensitive
node_3593	Central Africa	sensitive
node_73	Southern Africa ex SA	sensitive
AY829271	Southern Africa ex SA	sensitive
AY829333	Southern Africa ex SA	sensitive
AY136967	South Africa	sensitive
AF321523	Southern Africa ex SA	sensitive
AF290030	Southern Africa ex SA	sensitive
DQ351234	South Africa	sensitive
KC156115	South Africa	sensitive
node_188	Central Africa	sensitive
EF602596	Southern Africa ex SA	sensitive
AY756851	Southern Africa ex SA	sensitive
KM050700	Central Africa	sensitive
node_194	Central Africa	sensitive
node_196	Central Africa	sensitive
node_199	Central Africa	sensitive
node_200	South Africa	sensitive
node_243	Central Africa	sensitive
node_243	Southern Africa ex SA	
node_244	Central Africa	sensitive
node_251	Southern Africa ex SA	sensitive
node_252	Southern Africa ex SA	sensitive
HM119893	Central Africa	sensitive
node_259	South Africa	sensitive
EU244685	South Africa	sensitive
node_338	South Africa	sensitive
AY589892	South Africa	sensitive
HM120097	Central Africa	sensitive
node_342	Central Africa	sensitive
node_350	Central Africa	sensitive
AY878058	South Africa	sensitive
node_384	South Africa	sensitive
DQ351230	South Africa	sensitive
AF286227	South Africa	sensitive
GU199578	Southern Africa ex SA	sensitive
DQ396397	South Africa	sensitive
node_416	Central Africa	sensitive
node_417	Central Africa	sensitive
node_499	Central Africa	sensitive
node_555	Central Africa	sensitive
node_607	Central Africa	sensitive
node_616	Central Africa	sensitive
node_616	Southern Africa ex SA	
node_893	Central Africa	sensitive
node_894	Southern Africa ex SA	sensitive
node_902	South Africa	sensitive
node_903	South Africa	sensitive
node_916	Central Africa	sensitive
node_941	Asia	sensitive
node_941	Central Africa	
AF443098	Southern Africa ex SA	sensitive
KM050023	Central Africa	sensitive
AF443095	Southern Africa ex SA	sensitive
node_946	Southern Africa ex SA	sensitive
node_952	Central Africa	sensitive
node_953	Central Africa	sensitive
node_953	Europe	
node_953	Southern Africa ex SA	
node_955	Central Africa	sensitive
node_961	Central Africa	sensitive
node_1103	Central Africa	sensitive
node_1991	Central Africa	sensitive
node_2028	Central Africa	sensitive
node_3592	Central Africa	sensitive
DQ396386	South Africa	sensitive
node_72	Southern Africa ex SA	sensitive
HM120012	Central Africa	sensitive
HM119744	Central Africa	sensitive
AY589921	South Africa	sensitive
KM050662	Central Africa	sensitive
node_195	Central Africa	sensitive
HM119855	Central Africa	sensitive
HM119833	Central Africa	sensitive
node_198	Central Africa	sensitive
AY589932	South Africa	sensitive
AY589931	South Africa	sensitive
AY829293	Southern Africa ex SA	sensitive
AY829315	Southern Africa ex SA	sensitive
HM119910	Central Africa	sensitive
HM119915	Central Africa	sensitive
AF110971	Southern Africa ex SA	sensitive
AF110969	Southern Africa ex SA	sensitive
AF110970	Southern Africa ex SA	sensitive
KY658709	Southern Africa ex SA	sensitive
DQ275656	South Africa	sensitive
FJ199677	South Africa	sensitive
FJ199641	South Africa	sensitive
node_337	South Africa	sensitive
GQ433865	Central Africa	sensitive
HM119958	Central Africa	sensitive
node_345	Central Africa	sensitive
node_349	Central Africa	sensitive
node_379	South Africa	sensitive
node_383	South Africa	sensitive
node_414	South Africa	sensitive
node_415	Central Africa	sensitive
JX140667	South Africa	sensitive
HM119948	Central Africa	sensitive
node_419	Central Africa	sensitive
node_498	Central Africa	sensitive
node_522	Central Africa	sensitive
node_554	Central Africa	sensitive
node_596	Central Africa	sensitive
node_606	Central Africa	sensitive
node_606	South Africa	
node_615	Central Africa	sensitive
node_615	South Africa	
node_615	Southern Africa ex SA	
HE588159	West Africa	sensitive
node_876	South Africa	sensitive
node_892	Central Africa	sensitive
AF443113	Southern Africa ex SA	sensitive
AF443085	Southern Africa ex SA	sensitive
node_900	South Africa	sensitive
node_901	South Africa	sensitive
EU854522	South Africa	sensitive
JN687628	South Africa	sensitive
node_915	Central Africa	sensitive
KM050216	Central Africa	sensitive
node_928	Southern Africa ex SA	sensitive
node_940	Asia	sensitive
KY658708	Southern Africa ex SA	sensitive
node_945	Southern Africa ex SA	sensitive
AM071416	Southern Africa ex SA	sensitive
KM050708	Central Africa	sensitive
AY829286	Southern Africa ex SA	sensitive
GQ399298	Europe	sensitive
EF602201	South Africa	sensitive
KM050226	Central Africa	sensitive
node_959	Central Africa	sensitive
node_960	Central Africa	sensitive
node_1024	Central Africa	sensitive
node_1102	Central Africa	sensitive
node_1142	Central Africa	sensitive
node_1990	Central Africa	sensitive
node_2005	Central Africa	sensitive
node_2027	Central Africa	sensitive
node_2042	Central Africa	sensitive
node_3591	Central Africa	sensitive
AY829335	Southern Africa ex SA	sensitive
DQ445632	South Africa	sensitive
AY589936	South Africa	resistant
HM120100	Central Africa	sensitive
KM050145	Central Africa	sensitive
KM050144	Central Africa	sensitive
DQ351225	South Africa	sensitive
node_336	South Africa	sensitive
AY829283	Southern Africa ex SA	sensitive
node_344	Central Africa	sensitive
node_348	Central Africa	sensitive
AY901973	South Africa	sensitive
node_358	South Africa	sensitive
node_378	South Africa	sensitive
node_380	South Africa	sensitive
node_382	South Africa	sensitive
FJ199540	South Africa	sensitive
AY463230	South Africa	sensitive
AM071451	Southern Africa ex SA	sensitive
HM119940	Central Africa	sensitive
HM102337	Europe	sensitive
HM119777	Central Africa	sensitive
node_421	Central Africa	sensitive
node_497	South Africa	sensitive
node_497	Southern Africa ex SA	
node_519	Central Africa	sensitive
node_521	Central Africa	sensitive
EU244686	South Africa	sensitive
node_553	Central Africa	sensitive
node_576	Central Africa	sensitive
node_595	Central Africa	sensitive
node_599	Central Africa	sensitive
node_599	South Africa	
node_605	South Africa	sensitive
node_612	Southern Africa ex SA	sensitive
node_614	South Africa	sensitive
node_826	South Africa	sensitive
node_875	South Africa	sensitive
node_889	Central Africa	sensitive
node_891	Central Africa	sensitive
node_898	South Africa	sensitive
node_899	South Africa	sensitive
EU854513	South Africa	resistant
EF602233	South Africa	sensitive
EU110062	Asia	sensitive
HM119737	Central Africa	sensitive
AY196500	South Africa	sensitive
node_927	Southern Africa ex SA	sensitive
node_929	Asia	sensitive
node_939	Asia	sensitive
AF110968	Southern Africa ex SA	sensitive
AF110967	Southern Africa ex SA	sensitive
KX907424	East Africa	sensitive
node_958	Europe	sensitive
AY444800	North America	sensitive
KM050088	Central Africa	sensitive
node_964	Southern Africa ex SA	sensitive
node_1023	Central Africa	sensitive
node_1094	Central Africa	sensitive
node_1101	Central Africa	sensitive
node_1118	Central Africa	sensitive
node_1141	Central Africa	sensitive
node_1974	Central Africa	sensitive
node_1989	Central Africa	sensitive
node_1998	Central Africa	sensitive
node_2004	Central Africa	sensitive
node_2012	Central Africa	sensitive
node_2026	Central Africa	sensitive
node_2034	Central Africa	sensitive
node_2041	Central Africa	sensitive
node_2048	Central Africa	sensitive
node_3590	Central Africa	sensitive
node_335	South Africa	sensitive
GQ999977	South Africa	sensitive
node_343	Central Africa	sensitive
AY589918	South Africa	sensitive
HM119825	Central Africa	sensitive
node_347	Central Africa	sensitive
node_357	South Africa	sensitive
EU854550	South Africa	resistant
node_376	South Africa	sensitive
node_377	South Africa	sensitive
AY589909	South Africa	sensitive
GQ999984	South Africa	sensitive
JN687653	South Africa	sensitive
node_381	South Africa	sensitive
node_420	Central Africa	sensitive
HM119728	Central Africa	sensitive
node_467	Southern Africa ex SA	sensitive
node_496	South Africa	sensitive
node_496	Southern Africa ex SA	
node_502	Central Africa	sensitive
node_518	Central Africa	sensitive
node_520	Asia	sensitive
KM050130	Central Africa	sensitive
node_531	Central Africa	sensitive
node_552	Central Africa	sensitive
node_563	Central Africa	sensitive
node_575	Central Africa	sensitive
node_590	Central Africa	sensitive
node_594	Central Africa	sensitive
node_597	Central Africa	sensitive
node_597	South Africa	
node_598	South Africa	sensitive
node_602	South Africa	sensitive
node_604	South Africa	sensitive
node_610	Southern Africa ex SA	sensitive
node_611	Southern Africa ex SA	sensitive
node_613	South Africa	sensitive
