node	Location
0.952821	Central America
EU482687	Central America
KJ189305	South America
EU482607	South America
FJ898466_FJ898466.1	South America
GQ868553	South America
EU482605_HQ332189	South America
HQ332188_JN819407	South America
FJ639732_FJ639732.1	South America
GU131947.1	South America
GU131947	South America
EU920842_JX286525.2	South America
FJ898453	Caribbean
EU920849.2	Caribbean
EU920849.1	Caribbean
FM210235.2	South-eastern Asia
FM210235.1	South-eastern Asia
FJ639704.1	South-eastern Asia
FJ639704	South-eastern Asia
0.999821	South-eastern Asia
FJ639718_GU131932	South-eastern Asia
FJ810411.1_FJ810411.2	South-eastern Asia
FJ810411	South-eastern Asia
GQ868638	South-eastern Asia
GQ868623	South-eastern Asia
FJ687442.1	South-eastern Asia
FJ687442	South-eastern Asia
EU482640.1	South-eastern Asia
EU482640.2	South-eastern Asia
EU482552	Caribbean
EU482552.1	Caribbean
EU482551_EU482551.1	Caribbean
EU596489	Caribbean
EU596490	Caribbean
EU596490.1	Caribbean
FJ898439_FJ898439.1	Central America
GQ868515_GQ868515.1	Central America
0.432587	Central America
FJ744704_FJ744704.1	Central America
GU369819	Central America
GU369819.1	Central America
EU482634.1	Central America
EU482634	Central America
HQ705625_HQ705625.1	Central America
JF357906	Central America
FJ898466.1	South America
FJ898466	South America
EU482605_FJ850106.1	South America
HQ332189	South America
HQ332188	South America
JN819407	South America
FJ639732.1	South America
FJ639732	South America
0.991901	South America
EU920842	South America
EU482451_EU660413	South-eastern Asia
EU687249	South-eastern Asia
0.881420	South-eastern Asia
GU131932	South-eastern Asia
FJ810411.2	South-eastern Asia
FJ810411.1	South-eastern Asia
EU482551.1	Caribbean
EU482551	Caribbean
FJ898439.1	Central America
FJ898439	Central America
GQ868515.1	Central America
GQ868515	Central America
FJ850066_FJ850066.3	Central America
EU482639_FJ906956.1	Central America
FJ744704.1	Central America
FJ744704	Central America
HQ705625	Central America
HQ705625.1	Central America
FJ850106_FJ850106.1	South America
EU482605_EU482605.1	South America
GQ868641	South America
EU920846_EU920850	South America
HM181971_JX286525.2	South America
EU482451_EU482649.3	South-eastern Asia
EU482468_EU660413	South-eastern Asia
GQ868631_GQ868631.2	South-eastern Asia
FJ639718	South-eastern Asia
FJ850066.1_FJ850066.3	Central America
FJ850066	Central America
0.998977	Central America
FJ906956_FJ906956.1	Central America
FJ850106.1	South America
FJ850106	South America
EU482605	South America
EU482605.1	South America
EU920846_EU920846.2	South America
EU920850	Caribbean
JX286520_JX286525.2	South America
HM181971_HM181971.1	South America
JX567950	South America
0.815210	South-eastern Asia
EU482451_FJ410221.3	South-eastern Asia
EU482468	South-eastern Asia
EU660413	South-eastern Asia
FM210211_FM210211.1	South-eastern Asia
EU482469_FJ410259	South-eastern Asia
GQ868631	South-eastern Asia
GQ868631.2	South-eastern Asia
GQ868631.1	South-eastern Asia
FJ850066.2_FJ850066.3	Central America
