node	Africa	Caribbean	Central America	Eastern Asia	Oceania	South America	South-eastern Asia	Southern Asia
EF105389.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EF105389.2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n17	1.6157123359479928e-07	0.9984850505757712	1.7202965802659177e-07	4.573414578808095e-07	1.5271734179997865e-07	0.0015133606880014653	4.7148684436781885e-07	1.7358969164694158e-07
n109	3.6140345489955204e-05	0.981432083998277	3.605405275452222e-05	0.00010152676152514972	3.404936618393358e-05	0.0182491328742287	7.229964556198296e-05	3.871295597870679e-05
n119	1.6165133739795366e-07	0.9999979908956195	1.6126186047973344e-07	4.5517676204580017e-07	1.5245048618519868e-07	5.36303492338493e-07	3.689432166818127e-07	1.7331722554094633e-07
n121	1.4050820821963578e-10	0.9999999610137078	1.4015979570438622e-10	4.00799834010891e-10	1.332496199548908e-10	3.747779978921951e-08	5.42353556140602e-10	1.5142152039927548e-10
n182	2.0853013313566205e-07	5.962317223566308e-06	2.062735059430754e-07	2.606344692284619e-05	3.270995900022943e-07	6.659044103559952e-07	0.9999662063340734	3.6009414078017015e-07
n198	7.544996016987036e-07	1.9215616808736724e-06	7.524771938382935e-07	5.24029635020721e-06	7.267598712221173e-07	2.426206916337324e-06	0.9999873533357296	8.248626561677051e-07
AF119661	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
AF119661.1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n206	2.4923098635934776e-08	4.129562482765872e-08	2.4848536993262403e-08	7.184003508872172e-08	2.829387442801962e-08	8.011571839537407e-08	0.9999997008321297	2.785098202692841e-08
AJ487271	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AF204178	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
M29095	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n313	2.594227637689985e-08	4.237933327044028e-08	2.5872348559642345e-08	2.556430018220134e-07	2.4435857054148578e-08	8.341646720314804e-08	5.346424789954744e-08	0.9999994888464678
JQ922549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
KF041236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
AF276619	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n328	1.1164267898840508e-09	1.8206692647444709e-09	1.1115118562862316e-09	3.129129927539072e-09	1.0497883544517242e-09	3.5836867294008253e-09	0.9999999869863367	1.202450382277595e-09
JN851131	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n330	2.556360684717465e-10	4.022274103161789e-10	2.45263075372658e-10	1.0250260128285924e-09	2.3251324990898034e-10	7.907666095416924e-10	0.9999999967455943	3.0297340661695887e-10
n337	8.254300601568845e-07	1.3485889876589752e-06	8.233584747911252e-07	2.317846720810433e-06	7.774894931110277e-07	2.6546354406418233e-06	0.999990368288663	8.843621598456842e-07
GQ868600	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GQ868600.1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n352	0.00028103643924529294	0.02986146479999377	0.02138998188641061	0.0007892534965607052	0.00040632690973011344	0.946362790996698	0.0005522747898316395	0.0003568706815298993
n353	1.0835839035888942e-05	0.0006086871020503476	0.00019700946654475847	3.0430999668945626e-05	1.3053405680566524e-05	0.9991059714018032	2.1283131733385616e-05	1.2728653482847222e-05
n18	1.238523690833615e-05	0.02161014045098239	5.0830032301040714e-05	3.478233531720292e-05	1.1667126299167863e-05	0.9782426132510742	2.431630780110177e-05	1.326525931656103e-05
n88	1.3451881965532614e-07	0.9988970015160218	1.4205053561919534e-07	3.8037803273006074e-07	1.27091610935829e-07	0.001101694161293948	3.758170492967442e-07	1.4446663590828787e-07
n110	3.5381915729149103e-10	0.9999999626889181	3.5297220109201613e-10	9.937105481621714e-10	3.333122172670151e-10	3.4201262751573076e-08	6.970372444923846e-10	3.7896775426109276e-10
n112	2.9400321853327298e-05	0.01374477190244249	2.9329907786041965e-05	8.256725517835438e-05	2.7695693182927604e-05	0.9859970120331821	5.773351152615615e-05	3.148937484858529e-05
n120	2.506742590404403e-10	0.9999999969920594	2.5007385254706657e-10	7.039883999793969e-10	2.3614018260840456e-10	8.063280067015424e-10	4.922499311586592e-10	2.6848603057232313e-10
GQ398284	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GQ868603	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n123	1.851924054546968e-08	0.9999997777633393	1.847488440790599e-08	5.200878023189607e-08	1.744545734241108e-08	5.959857799163738e-08	3.635462756223454e-08	1.983509274862724e-08
